weight_decay,batch_size,model_seed,split_seed,shuffle_seed,sft_best_test_loss,hybrid_test_loss,hybrid_acc,hybrid_acc_even,hybrid_acc_odd
0.5,512,1236,42,44,1.815771611290984e-05,0.9326911568641663,0.8924936056137085,0.9182040095329285,0.8664414882659912
0.5,512,1235,42,44,1.8415583326714113e-05,1.9555671215057373,0.931200385093689,0.9337630271911621,0.9286036491394043
0.5,256,1236,42,44,2.4423201466561295e-05,1.4107298851013184,0.9514487385749817,0.9575461149215698,0.945270299911499
0.5,256,1235,42,43,2.559669519541785e-05,0.3958369791507721,0.7622776627540588,0.7752833962440491,0.7490991353988647
0.15,1024,1235,41,43,2.583866262284573e-05,2.4479496479034424,0.9964202046394348,0.9975522756576538,0.995275616645813
0.3,512,1236,42,44,2.7579253583098762e-05,3.5608251094818115,0.506879985332489,0.5147810578346252,0.49887388944625854
0.3,512,1236,42,43,2.9171098503866233e-05,0.011610308662056923,0.9977626204490662,0.9964436292648315,0.9990991353988647
0.15,-1,1236,41,43,3.1020335882203653e-05,0.06157087907195091,0.9888131022453308,0.9890965223312378,0.988526463508606
0.15,1024,1236,41,43,3.1072344427229837e-05,0.06730463355779648,0.9770668148994446,0.9764129519462585,0.9777277708053589
0.15,256,1236,41,44,3.4676879295147955e-05,0.2181527465581894,0.9796398282051086,0.9875389337539673,0.9716535806655884
0.3,256,1235,41,44,3.691349775181152e-05,0.9090008735656738,0.5356304049491882,0.5994659662246704,0.4710911214351654
0.5,1024,1236,41,44,3.83832557417918e-05,0.4629043936729431,0.8337621688842773,0.8486871123313904,0.8186726570129395
0.5,1024,1236,42,43,4.09582098654937e-05,0.15405167639255524,0.9505537748336792,0.9557679295539856,0.945270299911499
0.5,512,1235,41,43,4.1376493754796684e-05,10.290618896484375,0.31591901183128357,0.485981285572052,0.14398200809955597
0.3,512,1235,42,43,4.496536712395027e-05,1.1758427619934082,0.9365701079368591,0.9339852929115295,0.9391891956329346
0.3,256,1236,41,44,4.708462438429706e-05,3.465102434158325,0.5497259497642517,0.5798842906951904,0.5192350745201111
0.3,1024,1234,42,44,5.821431113872677e-05,1.4560439586639404,0.5329455137252808,0.5652366876602173,0.5002252459526062
0.3,256,1236,42,44,5.8884939790004864e-05,0.5588510036468506,0.8069135546684265,0.8199599981307983,0.7936937212944031
0.5,1024,1235,42,44,6.920337182236835e-05,10.43792724609375,0.16791588068008423,0.11535897105932236,0.22117117047309875
0.3,512,1234,42,43,8.01364949438721e-05,0.18460674583911896,0.8924936056137085,0.887086033821106,0.8979730010032654
0.15,1024,1236,42,44,8.569070632802323e-05,25.41496467590332,0.04038483276963234,0.01711491495370865,0.06396396458148956
0.5,-1,1234,41,43,9.047221101354808e-05,7.7545576095581055,0.2941044867038727,0.28437915444374084,0.30393701791763306
0.15,512,1235,42,43,9.297196083934978e-05,1.2210878133773804,0.986575722694397,0.9793287515640259,0.9939189553260803
0.3,256,1236,41,43,9.300243982579559e-05,0.4209483861923218,0.8446134924888611,0.8041833639144897,0.8854893445968628
0.5,1024,1235,41,43,9.502859029453248e-05,3.3963828086853027,0.5877615213394165,0.5827770233154297,0.5928009152412415
0.3,512,1236,41,44,0.00010087950067827478,8.978414535522461,0.44333818554878235,0.4779706299304962,0.4083239734172821
0.3,1024,1236,41,44,0.0001072620289050974,1.7366666793823242,0.5167244672775269,0.5002225041389465,0.5334083437919617
0.5,1024,1235,41,44,0.00010882652713917196,3.4771993160247803,0.6492896676063538,0.6748998761177063,0.6233971118927002
0.15,512,1234,42,44,0.00011801872460637242,0.003580305725336075,1.0,1.0,1.0
0.15,512,1235,41,44,0.0001522890233900398,6.585960388183594,0.9933997392654419,0.9955496191978455,0.9912261366844177
0.15,256,1236,42,44,0.0001722875895211473,0.0030839729588478804,0.9995525479316711,1.0,0.9990991353988647
0.5,1024,1234,41,43,0.00017249085067305714,0.49638259410858154,0.8177648782730103,0.808411180973053,0.8272216320037842
0.15,512,1236,42,43,0.00019223221170250326,7.140401363372803,0.08625125885009766,0.10535674542188644,0.06689189374446869
0.3,256,1235,42,44,0.00019533296290319413,0.00391350919380784,0.9983220100402832,0.9991108775138855,0.9975225329399109
0.15,-1,1236,42,43,0.0002012329496210441,0.2838973104953766,0.8177648782730103,0.8146254420280457,0.8209459781646729
0.5,256,1234,42,43,0.00021754174667876214,0.0038562992122024298,0.9985457062721252,0.9988886117935181,0.9981982111930847
0.5,1024,1234,41,44,0.00022104542586021125,1.3006418943405151,0.5863072276115417,0.5892300605773926,0.5833520889282227
0.5,256,1234,42,44,0.00022971838188823313,4.723281383514404,0.70265132188797,0.6992664933204651,0.7060810923576355
0.15,512,1236,41,44,0.00023380799393635243,0.47721001505851746,0.6755789518356323,0.6889185309410095,0.6620922684669495
0.3,1024,1235,41,43,0.00027925902395509183,0.17119374871253967,0.9973151683807373,0.9993324279785156,0.995275616645813
