variant,weight_decay,batch_size,model_seed,split_seed,shuffle_seed,original_loss,original_acc,zero_ablated_loss,zero_ablated_acc,mean_ablated_loss,mean_ablated_acc,loss_ratio_zero,loss_ratio_mean
PT,0.3,1024,1236,42,44,7.24836979770771e-07,1.0,8.194191423172015e-07,1.0,7.594802013954904e-07,1.0,1.1304874960661389,1.0477945008209644
PT,0.3,256,1234,41,43,2.2887731176979287e-07,1.0,3.6697113614536647e-07,1.0,3.5668352893480915e-07,1.0,1.6033530510637497,1.5584049208580582
PT,0.3,256,1234,41,44,2.8136341256868036e-07,1.0,3.946257436382439e-07,1.0,3.941403008411726e-07,1.0,1.4025481850520147,1.4008228619453624
PT,0.3,256,1234,42,43,3.5663802577801107e-07,1.0,4.261337949174049e-07,1.0,4.1705010289661004e-07,1.0,1.1948635987084881,1.1693932580150677
PT,0.3,256,1234,42,44,4.174048910954298e-07,1.0,4.773126534018957e-07,1.0,4.4849318214801315e-07,1.0,1.1435243419147414,1.0744799395402287
PT,0.3,256,1235,41,43,2.552037585701328e-07,1.0,5.800495728180977e-07,1.0,5.651754122482089e-07,1.0,2.272888048624463,2.2146045787679594
PT,0.3,256,1235,41,44,4.796190751221729e-07,1.0,5.244030489848228e-07,1.0,5.192777052798192e-07,1.0,1.0933740465832016,1.0826877666355201
PT,0.3,256,1235,42,43,1.6807305769361847e-07,1.0,3.1657819477004523e-07,1.0,3.037600890820613e-07,1.0,1.883574911495558,1.8073098285377045
PT,0.3,256,1235,42,44,4.093649579317571e-07,1.0,1.1099302810180234e-06,1.0,1.0372285714765894e-06,1.0,2.7113465857599213,2.5337502670404435
PT,0.3,256,1236,41,43,3.2143256589733937e-07,1.0,4.04278608812092e-07,1.0,4.038772374315158e-07,1.0,1.257740041627308,1.2564913461833485
PT,0.3,256,1236,41,44,3.417003995309642e-07,1.0,4.1876742784552334e-07,1.0,4.197570433461806e-07,1.0,1.225539766474799,1.2284359161486524
PT,0.3,256,1236,42,43,5.000633223062323e-07,1.0,8.361006393897696e-07,1.0,8.028475235732913e-07,1.0,1.6719895303134278,1.6054917202698538
PT,0.3,256,1236,42,44,4.265820336968318e-07,1.0,4.632251204839122e-07,1.0,4.6444802137557417e-07,1.0,1.0858992735102442,1.0887660161179067
PT,0.3,512,1234,41,43,6.912076173648529e-07,1.0,1.8535102981331875e-06,1.0,1.810840785765322e-06,1.0,2.681553633913173,2.6198218021221145
PT,0.3,512,1234,41,44,1.5883057358223596e-07,1.0,2.2057777471218287e-07,1.0,2.2011099076735263e-07,1.0,1.388761431362437,1.3858225516851652
PT,0.3,512,1234,42,43,5.236704510025447e-07,1.0,8.724053373043716e-07,1.0,7.420725864903943e-07,1.0,1.665943410849684,1.4170602619829475
PT,0.3,512,1234,42,44,2.4226486061706964e-07,1.0,3.523994678289455e-07,1.0,3.542105559972697e-07,1.0,1.4546041342163838,1.4620797877788163
PT,0.3,512,1235,41,43,3.7721309809057857e-07,1.0,6.116413260315312e-07,1.0,6.175864086799265e-07,1.0,1.6214742518953051,1.6372347932934932
PT,0.3,512,1235,41,44,5.450210096569208e-07,1.0,7.911653483461123e-07,1.0,7.861946187404101e-07,1.0,1.4516235784087188,1.442503325211817
